Symbol,Sector,Industry
SQ,Technology,Computer Software: Prepackaged Software
SSNC,Technology,Computer Software: Prepackaged Software
STAF,Technology,Professional Services
SXI,Technology,Industrial Machinery/Components
SRT,Technology,Professional Services
STM,Technology,Semiconductors
SSYS,Technology,Computer peripheral equipment
STRM,Technology,EDP Services
SPWR,Technology,Semiconductors
SMCI,Technology,Computer Manufacturing
SPCB,Technology,Semiconductors
SCON,Technology,Radio And Television Broadcasting And Communications Equipment
SPRT,Technology,EDP Services
SYKE,Technology,EDP Services
SYMC,Technology,Computer Software: Prepackaged Software
SYNC,Technology,"Computer Software: Programming, Data Processing"
SYNA,Technology,EDP Services
SNCR,Technology,EDP Services
SNX,Technology,Retail: Computer Software & Peripheral Equipment
SNPS,Technology,Computer Software: Prepackaged Software
SYNT,Technology,EDP Services
DATA,Technology,Computer Software: Prepackaged Software
TSM,Technology,Semiconductors
TTWO,Technology,Computer Software: Prepackaged Software
TLND,Technology,Computer Software: Prepackaged Software
TECD,Technology,Retail: Computer Software & Peripheral Equipment
TCCO,Technology,Radio And Television Broadcasting And Communications Equipment
TTEC,Technology,Professional Services
TNC,Technology,Industrial Machinery/Components
TDC,Technology,Computer Manufacturing
TXN,Technology,Semiconductors
TGH,Technology,Diversified Commercial Services
DSGX,Technology,Computer Software: Prepackaged Software
KEYW,Technology,EDP Services
MIDD,Technology,Industrial Machinery/Components
RUBI,Technology,"Computer Software: Programming, Data Processing"
TTD,Technology,"Computer Software: Programming, Data Processing"
ULTI,Technology,Computer Software: Prepackaged Software
TISA,Technology,Computer peripheral equipment
TSEM,Technology,Semiconductors
TACT,Technology,Computer peripheral equipment
TZOO,Technology,EDP Services
TRMR,Technology,Advertising
TRT,Technology,Industrial Machinery/Components
TRIP,Technology,"Computer Software: Programming, Data Processing"
TRTN,Technology,Diversified Commercial Services
TBI,Technology,Professional Services
TRUE,Technology,"Computer Software: Programming, Data Processing"
TSRI,Technology,EDP Services
TTMI,Technology,Electrical Products
TCX,Technology,EDP Services
TWLO,Technology,Computer Software: Prepackaged Software
TWIN,Technology,Industrial Machinery/Components
TWTR,Technology,"Computer Software: Programming, Data Processing"
TYL,Technology,Computer Software: Prepackaged Software
UBNT,Technology,Radio And Television Broadcasting And Communications Equipment
UCTT,Technology,Semiconductors
UTEK,Technology,Industrial Machinery/Components
UIS,Technology,EDP Services
UMC,Technology,Semiconductors
URI,Technology,Diversified Commercial Services
UPLD,Technology,Computer Software: Prepackaged Software
VRNS,Technology,Computer Software: Prepackaged Software
VDSI,Technology,EDP Services
VECO,Technology,Industrial Machinery/Components
VEEV,Technology,Computer Software: Prepackaged Software
VRNT,Technology,EDP Services
VRSN,Technology,EDP Services
VRSK,Technology,EDP Services
VSAT,Technology,Radio And Television Broadcasting And Communications Equipment
VIAV,Technology,Semiconductors
VRTU,Technology,EDP Services
VISN,Technology,Advertising
VMW,Technology,Computer Software: Prepackaged Software
VISI,Technology,Professional Services
VUZI,Technology,Radio And Television Broadcasting And Communications Equipment
WSTG,Technology,Retail: Computer Software & Peripheral Equipment
WEB,Technology,Computer Software: Prepackaged Software
WB,Technology,"Computer Software: Programming, Data Processing"
WBT,Technology,Industrial Machinery/Components
WDC,Technology,Electronic Components
WYY,Technology,EDP Services
WIT,Technology,EDP Services
WIX,Technology,"Computer Software: Programming, Data Processing"
WDAY,Technology,EDP Services
WK,Technology,Computer Software: Prepackaged Software
WPPGY,Technology,Advertising
WSCI,Technology,Industrial Machinery/Components
XTLY,Technology,Computer Software: Prepackaged Software
XLNX,Technology,Semiconductors
XPER,Technology,Semiconductors
XPLR,Technology,Computer Manufacturing
XNET,Technology,Computer Software: Prepackaged Software
YHOO,Technology,EDP Services
YNDX,Technology,"Computer Software: Programming, Data Processing"
YGE,Technology,Semiconductors
YUME,Technology,Advertising
YY,Technology,EDP Services
ZBRA,Technology,Industrial Machinery/Components
ZDGE,Technology,Computer Software: Prepackaged Software
ZEN,Technology,EDP Services
ZPIN,Technology,Professional Services
ZIXI,Technology,EDP Services
ZNGA,Technology,EDP Services
JD,,
BABA,,
AMZN,,

